Category,Name,Status,Rarity Winter,Rarity Summer,Rarity Breeding,Rarity Passage,Rarity Vagrant,Rarity Feral,Rarity Escapee,Rarity Overall,Taxon
A,Gannet,V2,0,0,0,0,2,0,0,2,Morus bassanus
A,Cormorant,WPB5,5,0,5,5,0,0,0,5,Phalacrocorax carbo
A,Shag,WP3,3,0,0,3,0,0,0,3,Phalacrocorax aristotelis
A,Bittern,W3,3,0,0,0,0,0,0,3,Botaurus stellaris
A,Little Bittern,V1,0,0,0,0,1,0,0,1,Ixobrychus minutus
A,Night Heron,V1,0,0,0,0,1,0,0,1,Nycticorax nycticorax
A,Squacco Heron,V1,0,0,0,0,1,0,0,1,Ardeola ralloides
A,Cattle Egret,V1,0,0,0,0,1,0,0,1,Bubulcus ibis
A,Little Egret,SP4,0,4,0,4,0,0,0,4,Egretta garzetta
A,Great White Egret,V2,0,0,0,0,2,0,0,2,Ardea alba
A,Grey Heron,B5,0,0,5,0,0,0,0,5,Ardea cinerea
A,Purple Heron,V1,0,0,0,0,1,0,0,1,Ardea purpurea
A,Black Stork,V1,0,0,0,0,1,0,0,1,Ciconia nigra
A,White Stork,V1,0,0,0,0,1,0,0,1,Ciconia ciconia
A,Glossy Ibis,V1,0,0,0,0,1,0,0,1,Plegadis falcinellus
A,Spoonbill,SP2,0,2,0,2,0,0,0,2,Platalea leucorodia
A,Honey Buzzard,V2,0,0,0,0,2,0,0,2,Pernis apivorus
A,Black Kite,V1,0,0,0,0,1,0,0,1,Milvus migrans
A,Red Kite,P4; FB1,0,0,1,4,0,1,0,4,Milvus milvus
B,White-tailed Eagle,V1,0,0,0,0,1,0,0,1,Haliaeetus albicilla
A,Marsh Harrier,P4,0,0,0,4,0,0,0,4,Circus aeruginosus
A,Hen Harrier,WP3,3,0,0,3,0,0,0,3,Circus cyaneus
A,Pallid Harrier,V1,0,0,0,0,1,0,0,1,Circus macrourus
A,Montagu's Harrier,V1,0,0,0,0,1,0,0,1,Circus pygargus
A,Goshawk,V/E2-3?,0,0,0,0,2,0,2,2,Accipiter gentilis
A,Sparrowhawk,B5,0,0,5,0,0,0,0,5,Accipiter nisus
A,Buzzard,BP4-5,0,0,4,4,0,0,0,4,Buteo buteo
A,Rough-legged Buzzard,WP2,2,0,0,2,0,0,0,2,Buteo lagopus
B,Golden Eagle,V1,0,0,0,0,1,0,0,1,Aquila chrysaetos
A,Osprey,P3; FB3,0,0,3,3,0,3,0,3,Pandion haliaetus
A,Kestrel,B5,0,0,5,0,0,0,0,5,Falco tinnunculus
A,Red-footed Falcon,V1,0,0,0,0,1,0,0,1,Falco vespertinus
A,Merlin,WP3,3,0,0,3,0,0,0,3,Falco columbarius
A,Hobby,SB3-4,0,3,3,0,0,0,0,3,Falco subbuteo
A,Peregrine,WP4; B3,4,0,3,4,0,0,0,4,Falco peregrinus
A,Water Rail,WP4; B2,4,0,2,4,0,0,0,4,Rallus aquaticus
A,Spotted Crake,P2,0,0,0,2,0,0,0,2,Porzana porzana
B,Little Crake,V1,0,0,0,0,1,0,0,1,Porzana parva
A,Baillon's Crake,V1,0,0,0,0,1,0,0,1,Porzana pusilla
A,Corncrake,V2,0,0,0,0,2,0,0,2,Crex crex
A,Moorhen,B6,0,0,6,0,0,0,0,6,Gallinula chloropus
A,Coot,W6; B5,6,0,5,0,0,0,0,6,Fulica atra
A,Common Crane,V1,0,0,0,0,1,0,0,1,Grus grus
A,Oystercatcher,P4; B3,0,0,3,4,0,0,0,4,Haematopus ostralegus
A,Black-winged Stilt,V1,0,0,0,0,1,0,0,1,Himantopus himantopus
A,Avocet,P2-3; B1,0,0,1,2,0,0,0,2,Recurvirostra avosetta
A,Stone Curlew,V1,0,0,0,0,1,0,0,1,Burhinus oedicnemus
B,Cream-coloured Courser,V1,0,0,0,0,1,0,0,1,Cursorius cursor
A,Collared Pratincole,V1,0,0,0,0,1,0,0,1,Glareola pratincola
A,Black-winged Pratincole,V1,0,0,0,0,1,0,0,1,Glareola nordmanni
A,Little Ringed Plover,SBP4,0,4,4,4,0,0,0,4,Charadrius dubius
A,Ringed Plover,P5; B3,0,0,3,5,0,0,0,5,Charadrius hiaticula
A,Killdeer,V1,0,0,0,0,1,0,0,1,Charadrius vociferus
A,Kentish Plover,V1,0,0,0,0,1,0,0,1,Charadrius alexandrinus
A,Dotterel,P2,0,0,0,2,0,0,0,2,Charadrius morinellus
A,American Golden Plover,V1,0,0,0,0,1,0,0,1,Pluvialis dominica
A,Golden Plover,WP6,6,0,0,6,0,0,0,6,Pluvialis apricaria
A,Grey Plover,WP3,3,0,0,3,0,0,0,3,Pluvialis squatarola
A,Lapwing,W7; B5,7,0,5,0,0,0,0,7,Vanellus vanellus
A,Knot,P3; W2,2,0,0,3,0,0,0,3,Calidris canutus
A,Sanderling,P3-4,0,0,0,3,0,0,0,3,Calidris alba
A,Little Stint,P4; W2,2,0,0,4,0,0,0,4,Calidris minuta
A,Temminck's Stint,P2,0,0,0,2,0,0,0,2,Calidris temminckii
A,White-rumped Sandpiper,V1,0,0,0,0,1,0,0,1,Calidris fuscicollis
A,Baird's Sandpiper,V1,0,0,0,0,1,0,0,1,Calidris bairdii
A,Pectoral Sandpiper,P2,0,0,0,2,0,0,0,2,Calidris melanotos
A,Curlew Sandpiper,P4,0,0,0,4,0,0,0,4,Calidris ferruginea
A,Stilt Sandpiper,V1,0,0,0,0,1,0,0,1,Calidris himantopus
A,Purple Sandpiper,V1,0,0,0,0,1,0,0,1,Calidris maritima
A,Dunlin,WP4-5,4,0,0,4,0,0,0,4,Calidris alpina
A,Broad-billed Sandpiper,V1,0,0,0,0,1,0,0,1,Calidris falcinellus
A,Buff-breasted Sandpiper,V1,0,0,0,0,1,0,0,1,Calidris subruficollis
A,Ruff,WP4,4,0,0,4,0,0,0,4,Calidris pugnax
A,Jack Snipe,WP4,4,0,0,4,0,0,0,4,Lymnocryptes minimus
A,Snipe,WP5; B2,5,0,2,5,0,0,0,5,Gallinago gallinago
B,Great Snipe,V1,0,0,0,0,1,0,0,1,Gallinago media
A,Long-billed Dowitcher,V1,0,0,0,0,1,0,0,1,Limnodromus scolopaceus
A,Woodcock,W4-5; B4,4,0,4,0,0,0,0,4,Scolopax rusticola
A,Black-tailed Godwit,P5; W2,2,0,0,5,0,0,0,5,Limosa limosa
A,Bar-tailed Godwit,P3-4; W2,2,0,0,3,0,0,0,3,Limosa lapponica
A,Whimbrel,P4,0,0,0,4,0,0,0,4,Numenius phaeopus
A,Curlew,P4; W3; B2-3,3,0,2,4,0,0,0,4,Numenius arquata
A,Spotted Redshank,P3-4,0,0,0,3,0,0,0,3,Tringa erythropus
A,Redshank,P5; W4; B3,4,0,3,5,0,0,0,5,Tringa totanus
A,Marsh Sandpiper,V1,0,0,0,0,1,0,0,1,Tringa stagnatilis
A,Greenshank,P4,0,0,0,4,0,0,0,4,Tringa nebularia
A,Lesser Yellowlegs,V1,0,0,0,0,1,0,0,1,Tringa flavipes
A,Green Sandpiper,P5; W4,4,0,0,5,0,0,0,5,Tringa ochropus
A,Wood Sandpiper,P3,0,0,0,3,0,0,0,3,Tringa glareola
A,Common Sandpiper,P5; W2,2,0,0,5,0,0,0,5,Actitis hypoleucos
A,Spotted Sandpiper,V1,0,0,0,0,1,0,0,1,Actitis macularius
A,Turnstone,P4,0,0,0,4,0,0,0,4,Arenaria interpres
A,Wilson's Phalarope,V1,0,0,0,0,1,0,0,1,Phalaropus tricolor
A,Red-necked Phalarope,P2,0,0,0,2,0,0,0,2,Phalaropus lobatus
A,Grey Phalarope,P2,0,0,0,2,0,0,0,2,Phalaropus fulicarius
A,Pomarine Skua,V1,0,0,0,0,1,0,0,1,Stercorarius pomarinus
A,Arctic Skua,P2,0,0,0,2,0,0,0,2,Stercorarius parasiticus
A,Long-tailed Skua,V1,0,0,0,0,1,0,0,1,Stercorarius longicaudus
A,Great Skua,P2,0,0,0,2,0,0,0,2,Stercorarius skua
A,Mediterranean Gull,WP4,4,0,0,4,0,0,0,4,Ichthyaetus melanocephalus
A,Laughing Gull,V1,0,0,0,0,1,0,0,1,Leucophaeus atricilla
A,Franklin's Gull,V1,0,0,0,0,1,0,0,1,Leucophaeus pipixcan
A,Little Gull,P4; W2-3,2,0,0,4,0,0,0,4,Hydrocoloeus minutus
A,Sabine's Gull,V1,0,0,0,0,1,0,0,1,Xema sabini
A,Black-headed Gull,W7; B4,7,0,4,0,0,0,0,7,Chroicocephalus ridibundus
A,Ring-billed Gull,V1,0,0,0,0,1,0,0,1,Larus delawarensis
A,Common Gull,W7; P5-6,7,0,0,5,0,0,0,7,Larus canus
A,Lesser Black-backed Gull,WP6,6,0,0,6,0,0,0,6,Larus fuscus
A,Caspian Gull,WP4,4,0,0,4,0,0,0,4,Larus cachinnans
A,Yellow-legged Gull,WP4,4,0,0,4,0,0,0,4,Larus michahellis
A,Herring Gull,W6; P3-4,6,0,0,3,0,0,0,6,Larus argentatus
A,Iceland Gull,W2-3,2,0,0,0,0,0,0,2,Larus glaucoides
A,Glaucous Gull,W2-3,2,0,0,0,0,0,0,2,Larus hyperboreus
A,Great Black-backed Gull,W5; P3-4,5,0,0,3,0,0,0,5,Larus marinus
A,Kittiwake,P3,0,0,0,3,0,0,0,3,Rissa tridactyla
A,Bridled Tern,V1,0,0,0,0,1,0,0,1,Onychoprion anaethetus
A,Little Tern,P3,0,0,0,3,0,0,0,3,Sternula albifrons
A,Caspian Tern,V1,0,0,0,0,1,0,0,1,Hydroprogne caspia
A,Whiskered Tern,V1,0,0,0,0,1,0,0,1,Chlidonias hybrida
A,Black Tern,P4,0,0,0,4,0,0,0,4,Chlidonias niger
A,White-winged Black Tern,V2,0,0,0,0,2,0,0,2,Chlidonias leucopterus
A,Sandwich Tern,P3,0,0,0,3,0,0,0,3,Sterna sandvicensis
A,Common Tern,P4-5; B4,0,0,4,4,0,0,0,4,Sterna hirundo
A,Roseate Tern,V1,0,0,0,0,1,0,0,1,Sterna dougallii
A,Arctic Tern,P4-5,0,0,0,4,0,0,0,4,Sterna paradisaea
A,Guillemot,V1,0,0,0,0,1,0,0,1,Uria aalge
A,Razorbill,V1,0,0,0,0,1,0,0,1,Alca torda
A,Little Auk,W2,2,0,0,0,0,0,0,2,Alle alle
A,Puffin,V1,0,0,0,0,1,0,0,1,Fratercula arctica
B,Pallas's Sandgrouse,V1,0,0,0,0,1,0,0,1,Syrrhaptes paradoxus
C,Feral Pigeon,FB6,0,0,6,0,0,6,0,6,Columba livia
A,Stock Dove,B6,0,0,6,0,0,0,0,6,Columba oenas
A,Woodpigeon,B7,0,0,7,0,0,0,0,7,Columba palumbus
A,Collared Dove,B6,0,0,6,0,0,0,0,6,Streptopelia decaocto
A,Turtle Dove,SB4,0,4,4,0,0,0,0,4,Streptopelia turtur
A,Cuckoo,SB5,0,5,5,0,0,0,0,5,Cuculus canorus
A,Barn Owl,B4,0,0,4,0,0,0,0,4,Tyto alba
C,Little Owl,FB5,0,0,5,0,0,5,0,5,Athene noctua
A,Tawny Owl,B5,0,0,5,0,0,0,0,5,Strix aluco
A,Long-eared Owl,W3; B2,3,0,2,0,0,0,0,3,Asio otus
A,Short-eared Owl,W4,4,0,0,0,0,0,0,4,Asio flammeus
A,Nightjar,SP2-3,0,2,0,2,0,0,0,2,Caprimulgus europaeus
A,Swift,SB6,0,6,6,0,0,0,0,6,Apus apus
A,Alpine Swift,V1,0,0,0,0,1,0,0,1,Tachymarptis melba
A,Kingfisher,B4,0,0,4,0,0,0,0,4,Alcedo atthis
A,Bee-eater,V1,0,0,0,0,1,0,0,1,Merops apiaster
A,Roller,V1,0,0,0,0,1,0,0,1,Coracias garrulus
A,Hoopoe,V2,0,0,0,0,2,0,0,2,Upupa epops
A,Wryneck,V2,0,0,0,0,2,0,0,2,Jynx torquilla
A,Green Woodpecker,B5,0,0,5,0,0,0,0,5,Picus viridis
A,Great Spotted Woodpecker,B5,0,0,5,0,0,0,0,5,Dendrocopos major
A,Lesser Spotted Woodpecker,B4,0,0,4,0,0,0,0,4,Dryobates minor
A,Wood Lark,P2,0,0,0,2,0,0,0,2,Lullula arborea
A,Sky Lark,BWP6,6,0,6,6,0,0,0,6,Alauda arvensis
A,Shore Lark,V1,0,0,0,0,1,0,0,1,Eremophila alpestris
A,Sand Martin,SB5,0,5,5,0,0,0,0,5,Riparia riparia
